Open,High,Low,Volume,Close
292.220001,302.01001,288.769989,8582500,297.859985
301.779999,316.299988,300.549988,11183900,314.73999
318.920013,320,310.809998,10520700,319.880005
306.940002,307.130005,291.899994,22911400,294.790009
298.119995,299,282.779999,17096800,285.359985
282,284,270.100006,18764700,276.540009
276.480011,281.51001,274.390015,10335500,276.23999
278.839996,284.700012,274.25,9420000,276.589996
276.910004,285.589996,275.890015,8819600,284.140015
283.519989,291.279999,280.5,7392300,290.920013
286.48999,288.070007,281.059998,7504100,283.359985
283.899994,291.98999,282.700012,6844700,288.959991
292.450012,295.390015,288.290009,7103400,289.959991
283.51001,283.720001,274.399994,14785500,275.429993
276,278.049988,267.299988,10281000,269.48999
267.5,273.299988,263.459991,11800600,267.470001
269.690002,274.970001,266.299988,6908200,273.600006
272.600006,276.450012,268.450012,5947100,274.019989
272.579987,272.799988,264,8745600,264.529999
259.709991,263.179993,254.460007,10215000,260.420013
264.440002,270.26001,264.429993,7350900,267.769989
268.75,275.369995,268.179993,8779200,274.829987
277.160004,280.329987,275.100006,6774100,278.619995
278.700012,280.160004,274.5,5991300,279.859985
282.619995,289.200012,281.279999,8110400,289.179993
288.299988,289.440002,283.880005,5478900,285.880005
287.320007,296.170013,287.170013,7929900,291.809998
261.890015,271.200012,260.589996,23720700,267.779999
269.859985,276.100006,266.109985,13038300,274.959991
277.690002,281.160004,270.440002,10410400,273.200012
271.649994,275,269.609985,5904000,272.309998
276.73999,278.380005,272.890015,7061300,276.059998
268.299988,270.5,265.600006,9835900,268.420013
270.220001,271.950012,266.829987,6746000,267.700012
268.630005,268.880005,258.630005,10038600,266.380005
265.75,275,264.720001,7272900,273.359985
274.75,274.790009,268.540009,5126500,271.230011
271.230011,274.839996,269.75,5876300,273.26001
269,269.679993,262.480011,12147100,262.75
260.149994,265.600006,255.75,10943900,263.899994
263.850006,265.320007,258,10727500,258.660004
255,259,246.070007,21849400,247.630005
246.5,246.679993,231.130005,22360700,235.139999
235.860001,243.979996,232.169998,16714500,241.470001
242.059998,244.210007,237,9464600,238.690002
238.850006,240,231.5,10704400,234.009995
245.520004,247.130005,237.720001,18159300,244.100006
243.860001,256.609985,243.490005,23706800,255.029999
